,listing_id,damage,make,model,full_label,est_value,year,image1,image2,image3
0,23885009,0,0,0,0,12726,2010,"[[[253 255 254]
  [253 255 254]
  [253 255 254]
  ...
  [253 255 254]
  [253 255 254]
  [253 255 254]]

 [[253 255 254]
  [253 255 254]
  [253 255 254]
  ...
  [253 255 254]
  [253 255 254]
  [253 255 254]]

 [[253 255 254]
  [253 255 254]
  [253 255 254]
  ...
  [253 255 254]
  [253 255 254]
  [253 255 254]]

 ...

 [[202 201 199]
  [217 216 214]
  [208 208 207]
  ...
  [119  87  62]
  [124  92  67]
  [126  94  69]]

 [[215 213 212]
  [192 191 188]
  [200 197 195]
  ...
  [125  93  68]
  [106  74  49]
  [108  76  51]]

 [[194 191 188]
  [146 142 139]
  [191 187 183]
  ...
  [121  89  64]
  [114  82  57]
  [112  80  55]]]","[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[142 122  99]
  [180 159 136]
  [164 142 118]
  ...
  [122  91  60]
  [129  98  67]
  [124  93  62]]

 [[164 140 117]
  [157 133 108]
  [132 105  79]
  ...
  [132 101  69]
  [123  92  59]
  [112  81  49]]

 [[157 131 106]
  [137 111  85]
  [133 105  76]
  ...
  [122  92  58]
  [119  89  55]
  [111  81  47]]]","[[[244 246 236]
  [244 246 237]
  [244 245 239]
  ...
  [175 173 173]
  [174 172 174]
  [173 171 174]]

 [[243 244 240]
  [243 244 240]
  [243 244 241]
  ...
  [175 174 173]
  [173 172 173]
  [174 172 174]]

 [[246 246 249]
  [246 246 249]
  [246 246 248]
  ...
  [174 172 170]
  [173 170 171]
  [172 170 171]]

 ...

 [[113 108 104]
  [119 114 110]
  [115 110 106]
  ...
  [114 105 100]
  [113 104  99]
  [113 104  99]]

 [[108 103  99]
  [111 106 102]
  [111 106 102]
  ...
  [ 99  90  85]
  [108  99  94]
  [106  97  92]]

 [[106 101  97]
  [110 105 101]
  [107 102  98]
  ...
  [ 71  62  57]
  [106  97  92]
  [113 104  99]]]"
1,24487306,0,0,1,1,1984,2002,"[[[134 135 127]
  [115 116 108]
  [126 127 119]
  ...
  [  5  11  22]
  [  8  15  26]
  [ 11  18  29]]

 [[135 136 128]
  [121 122 114]
  [126 127 119]
  ...
  [ 29  37  49]
  [ 30  38  49]
  [ 31  39  51]]

 [[127 128 120]
  [120 121 113]
  [122 123 115]
  ...
  [ 31  40  53]
  [ 31  41  54]
  [ 33  43  56]]

 ...

 [[ 92  61  28]
  [109  81  51]
  [ 87  62  36]
  ...
  [127  91  55]
  [133  95  58]
  [122  83  47]]

 [[ 75  46  16]
  [ 71  45  18]
  [ 86  63  38]
  ...
  [123  90  52]
  [130  95  56]
  [132  96  57]]

 [[ 90  63  34]
  [ 86  62  34]
  [ 85  63  39]
  ...
  [ 91  59  22]
  [116  81  42]
  [129  94  54]]]","[[[ 74  94 118]
  [ 72  93 117]
  [ 73  94 119]
  ...
  [109 112 105]
  [115 118 111]
  [103 106  99]]

 [[ 72  95 119]
  [ 72  94 118]
  [ 72  94 117]
  ...
  [109 112 105]
  [114 117 110]
  [103 106  99]]

 [[ 70  94 118]
  [ 73  96 120]
  [ 74  96 118]
  ...
  [106 109 102]
  [108 111 104]
  [ 99 102  95]]

 ...

 [[118  88  54]
  [117  87  53]
  [115  85  51]
  ...
  [109  80  48]
  [102  73  41]
  [103  74  42]]

 [[118  88  54]
  [118  88  54]
  [118  88  54]
  ...
  [ 99  70  38]
  [105  76  44]
  [103  74  42]]

 [[119  89  55]
  [119  89  55]
  [119  89  55]
  ...
  [ 88  59  27]
  [ 99  70  38]
  [104  75  43]]]","[[[134 146 149]
  [135 147 150]
  [137 150 151]
  ...
  [174 160 125]
  [177 163 128]
  [174 160 125]]

 [[130 137 134]
  [132 139 136]
  [131 138 134]
  ...
  [169 155 120]
  [174 160 125]
  [175 161 126]]

 [[109 110  96]
  [110 111  97]
  [110 111  97]
  ...
  [176 162 127]
  [180 166 131]
  [182 168 133]]

 ...

 [[ 96  62  19]
  [132  99  51]
  [152 118  66]
  ...
  [121  96  22]
  [190 179  75]
  [191 188  63]]

 [[125  91  51]
  [154 119  69]
  [169 131  76]
  ...
  [109  94  28]
  [197 199  91]
  [146 161  29]]

 [[112  77  35]
  [151 115  65]
  [183 145  87]
  ...
  [115 105  45]
  [158 169  66]
  [ 86 111   2]]]"
2,25667019,0,0,2,2,13095,2012,"[[[ 72 120 169]
  [ 72 120 169]
  [ 72 120 169]
  ...
  [ 76 130 176]
  [ 76 130 176]
  [ 76 130 176]]

 [[ 72 120 169]
  [ 72 120 169]
  [ 72 120 169]
  ...
  [ 78 131 177]
  [ 78 131 177]
  [ 78 131 177]]

 [[ 72 120 169]
  [ 72 120 169]
  [ 72 120 169]
  ...
  [ 78 130 177]
  [ 78 130 177]
  [ 78 130 177]]

 ...

 [[129 127 114]
  [125 123 110]
  [122 120 107]
  ...
  [129 127 114]
  [118 116 103]
  [123 121 108]]

 [[122 120 107]
  [122 120 107]
  [123 121 108]
  ...
  [131 128 115]
  [132 129 117]
  [131 128 115]]

 [[120 118 105]
  [114 112  99]
  [121 119 106]
  ...
  [135 131 119]
  [133 129 117]
  [130 126 114]]]","[[[ 78  92  94]
  [ 95 109 112]
  [ 91 105 108]
  ...
  [154 188 215]
  [153 189 215]
  [153 189 215]]

 [[ 86 100 103]
  [ 98 112 115]
  [ 91 105 108]
  ...
  [156 190 214]
  [155 190 214]
  [154 190 214]]

 [[ 90 103 108]
  [ 95 109 113]
  [ 97 110 115]
  ...
  [160 192 213]
  [158 193 213]
  [158 193 213]]

 ...

 [[168 165 146]
  [177 174 155]
  [167 164 145]
  ...
  [ 41  59  83]
  [ 41  59  83]
  [ 45  63  87]]

 [[173 170 151]
  [170 167 148]
  [165 162 143]
  ...
  [ 45  63  87]
  [ 45  63  87]
  [ 47  65  89]]

 [[166 163 144]
  [165 162 143]
  [167 164 145]
  ...
  [ 43  61  85]
  [ 44  62  86]
  [ 42  60  84]]]","[[[ 87 132 174]
  [ 87 132 174]
  [ 87 132 174]
  ...
  [104 136 159]
  [104 136 159]
  [104 136 159]]

 [[ 88 133 174]
  [ 88 133 174]
  [ 88 133 174]
  ...
  [104 136 159]
  [104 136 159]
  [104 136 159]]

 [[ 90 134 175]
  [ 90 134 175]
  [ 90 134 175]
  ...
  [104 136 159]
  [104 136 159]
  [104 136 159]]

 ...

 [[127 118 101]
  [124 115  98]
  [124 115  98]
  ...
  [ 36  44  47]
  [ 36  44  47]
  [ 43  51  54]]

 [[124 115  98]
  [122 113  96]
  [124 115  98]
  ...
  [ 37  45  48]
  [ 32  40  43]
  [ 39  47  50]]

 [[128 119 102]
  [126 117 100]
  [127 118 101]
  ...
  [ 33  41  44]
  [ 24  32  35]
  [ 36  44  47]]]"
3,25717579,1,0,2,3,4275,2005,"[[[ 58  65  75]
  [ 58  65  75]
  [ 53  60  70]
  ...
  [ 21  33  47]
  [ 18  30  44]
  [ 17  29  43]]

 [[ 58  65  75]
  [ 58  65  75]
  [ 54  61  71]
  ...
  [ 18  30  44]
  [ 17  29  43]
  [ 15  27  41]]

 [[ 58  65  75]
  [ 58  65  75]
  [ 56  63  73]
  ...
  [ 16  28  42]
  [ 16  28  42]
  [ 15  27  41]]

 ...

 [[104  90  66]
  [124 109  85]
  [106  91  67]
  ...
  [142 130 114]
  [143 131 115]
  [146 134 118]]

 [[115 101  75]
  [105  91  65]
  [104  90  64]
  ...
  [141 129 113]
  [145 133 117]
  [143 131 115]]

 [[100  86  60]
  [106  92  66]
  [105  91  65]
  ...
  [160 148 132]
  [144 132 116]
  [143 131 115]]]","[[[207 224 241]
  [223 240 252]
  [220 237 249]
  ...
  [123 131 150]
  [127 135 154]
  [125 133 152]]

 [[121 138 156]
  [176 193 208]
  [231 248 255]
  ...
  [124 132 151]
  [127 135 154]
  [125 133 152]]

 [[107 124 142]
  [131 148 164]
  [175 192 208]
  ...
  [126 134 153]
  [129 137 156]
  [125 133 152]]

 ...

 [[162 162 154]
  [167 166 159]
  [160 160 153]
  ...
  [ 97  98  99]
  [139 141 140]
  [154 156 155]]

 [[181 180 176]
  [178 177 172]
  [165 164 159]
  ...
  [130 131 132]
  [127 129 128]
  [153 155 154]]

 [[178 177 173]
  [163 162 158]
  [168 167 163]
  ...
  [173 175 175]
  [205 207 206]
  [161 163 162]]]","[[[224 225 246]
  [224 225 246]
  [225 226 247]
  ...
  [208 215 234]
  [206 213 232]
  [204 211 230]]

 [[220 223 244]
  [224 227 247]
  [223 226 246]
  ...
  [208 215 234]
  [206 213 232]
  [204 211 230]]

 [[220 227 246]
  [221 229 248]
  [220 228 247]
  ...
  [207 215 234]
  [205 213 232]
  [203 211 230]]

 ...

 [[242 242 242]
  [245 245 245]
  [240 240 240]
  ...
  [232 228 217]
  [218 213 203]
  [226 222 211]]

 [[245 245 245]
  [252 252 252]
  [244 244 244]
  ...
  [222 218 205]
  [233 229 216]
  [243 240 226]]

 [[246 246 246]
  [248 248 248]
  [246 246 246]
  ...
  [232 229 213]
  [228 225 209]
  [229 226 210]]]"
4,25887480,0,0,3,4,7742,2008,"[[[108 107 102]
  [107 106 101]
  [109 108 103]
  ...
  [232 237 241]
  [232 237 241]
  [232 237 241]]

 [[107 106 101]
  [107 106 101]
  [110 109 104]
  ...
  [232 237 241]
  [232 237 241]
  [232 237 241]]

 [[106 105  99]
  [108 108 101]
  [110 109 103]
  ...
  [231 236 240]
  [231 236 240]
  [231 236 240]]

 ...

 [[171 159 147]
  [178 166 154]
  [180 168 156]
  ...
  [165 153 139]
  [162 150 136]
  [161 149 135]]

 [[174 162 150]
  [179 167 155]
  [178 166 154]
  ...
  [167 155 141]
  [170 158 144]
  [160 148 134]]

 [[170 158 146]
  [175 163 151]
  [176 164 152]
  ...
  [167 155 141]
  [170 158 144]
  [167 155 141]]]","[[[183 182 187]
  [213 212 217]
  [197 196 201]
  ...
  [128 124 121]
  [131 127 124]
  [131 127 124]]

 [[172 171 176]
  [228 227 232]
  [198 197 202]
  ...
  [128 124 121]
  [130 126 123]
  [130 126 123]]

 [[166 165 170]
  [224 223 228]
  [189 188 193]
  ...
  [127 123 120]
  [130 126 123]
  [130 126 123]]

 ...

 [[166 158 147]
  [166 158 147]
  [166 158 147]
  ...
  [162 152 140]
  [158 148 136]
  [156 146 134]]

 [[167 159 148]
  [170 162 151]
  [171 163 152]
  ...
  [160 150 138]
  [161 151 139]
  [156 146 134]]

 [[166 158 147]
  [171 163 152]
  [172 164 153]
  ...
  [156 146 134]
  [159 149 137]
  [156 146 134]]]","[[[220 223 228]
  [220 223 228]
  [220 223 228]
  ...
  [235 245 246]
  [234 244 245]
  [233 243 244]]

 [[220 223 228]
  [220 223 228]
  [220 223 228]
  ...
  [234 244 245]
  [233 243 244]
  [233 243 244]]

 [[220 223 228]
  [220 223 228]
  [220 223 228]
  ...
  [234 243 245]
  [233 242 244]
  [233 241 243]]

 ...

 [[151 138 119]
  [155 142 123]
  [156 143 124]
  ...
  [158 146 130]
  [165 153 137]
  [172 160 144]]

 [[164 151 132]
  [158 145 126]
  [157 144 125]
  ...
  [158 146 130]
  [153 141 125]
  [164 152 136]]

 [[161 149 130]
  [162 151 131]
  [160 149 129]
  ...
  [157 145 129]
  [155 143 127]
  [160 148 132]]]"
5,25914180,0,0,4,5,5531,2005,"[[[255 253 254]
  [255 253 254]
  [255 253 254]
  ...
  [217 220 229]
  [217 220 229]
  [217 220 229]]

 [[255 253 254]
  [255 253 254]
  [255 253 254]
  ...
  [217 220 229]
  [217 220 229]
  [217 220 229]]

 [[255 253 254]
  [255 253 254]
  [255 253 254]
  ...
  [218 221 230]
  [219 222 231]
  [221 224 233]]

 ...

 [[116 107  96]
  [ 86  76  66]
  [ 77  68  58]
  ...
  [ 64  56  41]
  [ 66  58  43]
  [ 79  71  56]]

 [[109  99  89]
  [ 80  70  60]
  [ 83  73  63]
  ...
  [ 92  83  68]
  [ 93  84  69]
  [ 75  66  51]]

 [[ 85  75  65]
  [ 86  76  66]
  [101  91  81]
  ...
  [ 86  77  62]
  [105  96  81]
  [104  95  80]]]","[[[131  79  66]
  [135  83  70]
  [134  82  71]
  ...
  [223 225 237]
  [223 225 237]
  [223 225 237]]

 [[131  79  66]
  [135  83  70]
  [134  82  71]
  ...
  [222 225 237]
  [222 224 236]
  [222 224 236]]

 [[131  79  66]
  [135  83  70]
  [134  82  71]
  ...
  [222 228 240]
  [221 227 239]
  [220 225 237]]

 ...

 [[ 95  86  71]
  [ 78  69  54]
  [ 68  61  47]
  ...
  [110 107 100]
  [ 86  83  75]
  [ 80  77  69]]

 [[ 85  76  61]
  [ 90  81  66]
  [ 67  60  45]
  ...
  [ 82  78  74]
  [ 90  86  82]
  [ 71  67  64]]

 [[ 84  75  60]
  [ 80  71  56]
  [ 68  61  47]
  ...
  [ 73  69  67]
  [102  98  96]
  [100  96  94]]]","[[[ 81 103 101]
  [ 90 112 110]
  [ 96 118 116]
  ...
  [189 202 211]
  [188 201 210]
  [187 200 209]]

 [[ 80 102 100]
  [ 83 105 103]
  [ 88 110 108]
  ...
  [188 201 210]
  [187 200 209]
  [187 200 209]]

 [[ 80 101 102]
  [ 79 100 101]
  [ 79 100 101]
  ...
  [188 201 210]
  [187 200 209]
  [186 199 208]]

 ...

 [[ 81  82  76]
  [ 51  52  46]
  [ 45  45  41]
  ...
  [ 48  48  46]
  [ 50  50  48]
  [ 54  54  52]]

 [[ 70  71  65]
  [ 77  78  73]
  [ 54  55  51]
  ...
  [ 45  45  43]
  [ 43  43  41]
  [ 55  55  53]]

 [[ 78  79  73]
  [ 77  78  73]
  [ 59  60  56]
  ...
  [ 52  52  50]
  [ 27  27  25]
  [ 53  53  51]]]"
6,25942750,0,0,5,6,17183,2017,"[[[234 244 246]
  [222 232 234]
  [220 230 232]
  ...
  [229 236 244]
  [229 236 244]
  [229 236 244]]

 [[226 236 238]
  [224 234 236]
  [213 223 225]
  ...
  [229 236 244]
  [229 236 244]
  [229 236 244]]

 [[216 224 227]
  [224 232 235]
  [217 226 229]
  ...
  [228 235 243]
  [228 235 243]
  [228 235 243]]

 ...

 [[168 164 153]
  [172 168 157]
  [170 166 155]
  ...
  [177 167 155]
  [171 161 149]
  [166 156 144]]

 [[176 172 161]
  [175 171 160]
  [166 162 151]
  ...
  [170 160 148]
  [169 159 147]
  [146 136 124]]

 [[173 169 158]
  [175 171 160]
  [175 171 160]
  ...
  [176 166 154]
  [167 157 145]
  [171 161 149]]]","[[[247 253 253]
  [247 253 253]
  [247 253 253]
  ...
  [248 254 254]
  [248 254 254]
  [248 254 254]]

 [[247 253 253]
  [247 253 253]
  [247 253 253]
  ...
  [247 253 253]
  [247 253 253]
  [247 253 253]]

 [[247 253 253]
  [247 253 253]
  [247 253 253]
  ...
  [246 252 252]
  [246 252 252]
  [246 252 252]]

 ...

 [[128 127 125]
  [136 135 133]
  [109 108 106]
  ...
  [184 175 170]
  [190 181 176]
  [188 179 174]]

 [[124 123 121]
  [104 103 101]
  [ 96  95  93]
  ...
  [185 176 171]
  [183 174 169]
  [181 172 167]]

 [[115 114 112]
  [116 115 113]
  [107 106 104]
  ...
  [197 188 183]
  [190 181 176]
  [179 170 165]]]","[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [249 249 249]
  [250 250 250]
  [250 250 250]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [243 243 243]
  [244 244 244]
  [249 249 249]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [237 237 237]
  [239 239 239]
  [243 243 243]]

 ...

 [[172 169 162]
  [162 159 152]
  [173 170 163]
  ...
  [171 162 153]
  [182 173 164]
  [180 171 162]]

 [[177 174 167]
  [179 176 169]
  [193 190 183]
  ...
  [174 165 156]
  [181 172 163]
  [171 162 153]]

 [[160 157 150]
  [179 176 169]
  [159 156 149]
  ...
  [176 167 158]
  [176 167 158]
  [182 173 164]]]"
7,26003520,2,0,3,7,26106,2016,"[[[163 174 192]
  [163 174 192]
  [163 174 192]
  ...
  [211 212 217]
  [211 212 217]
  [211 212 217]]

 [[166 178 194]
  [166 178 194]
  [166 178 194]
  ...
  [211 212 217]
  [211 212 217]
  [211 212 217]]

 [[166 178 194]
  [166 178 194]
  [166 178 194]
  ...
  [211 212 217]
  [211 212 217]
  [211 212 217]]

 ...

 [[ 74  57  34]
  [ 72  55  33]
  [ 61  44  22]
  ...
  [129 105  79]
  [126 102  76]
  [119  95  69]]

 [[ 82  65  45]
  [ 76  59  39]
  [ 73  56  36]
  ...
  [129 105  79]
  [129 105  79]
  [125 101  75]]

 [[ 85  68  48]
  [ 86  69  49]
  [ 80  63  43]
  ...
  [121  97  71]
  [125 101  75]
  [128 104  78]]]","[[[250 254 255]
  [250 254 255]
  [247 251 254]
  ...
  [ 99 112 129]
  [ 99 112 129]
  [ 99 112 129]]

 [[246 250 253]
  [245 249 252]
  [242 246 249]
  ...
  [ 99 112 129]
  [ 99 112 129]
  [ 99 112 129]]

 [[239 243 247]
  [235 240 243]
  [236 240 243]
  ...
  [ 98 111 128]
  [ 98 111 128]
  [ 98 111 128]]

 ...

 [[138 112  79]
  [132 106  73]
  [132 106  73]
  ...
  [101  87  60]
  [ 99  85  58]
  [ 84  70  43]]

 [[132 105  76]
  [124  97  68]
  [130 103  73]
  ...
  [102  88  61]
  [ 82  68  41]
  [ 82  68  41]]

 [[122  95  66]
  [119  92  63]
  [108  81  52]
  ...
  [ 98  84  57]
  [ 80  66  39]
  [ 81  67  40]]]","[[[209 219 229]
  [209 219 229]
  [209 219 229]
  ...
  [233 237 248]
  [231 235 246]
  [229 233 244]]

 [[209 219 229]
  [209 219 229]
  [209 219 229]
  ...
  [230 234 245]
  [228 232 243]
  [227 231 242]]

 [[209 219 229]
  [209 219 229]
  [209 219 229]
  ...
  [230 234 245]
  [228 232 243]
  [226 230 241]]

 ...

 [[104  80  54]
  [109  85  59]
  [117  93  67]
  ...
  [ 95  79  53]
  [ 96  80  54]
  [ 92  76  51]]

 [[110  86  60]
  [109  85  59]
  [ 99  75  49]
  ...
  [ 88  72  46]
  [ 92  76  50]
  [ 95  79  53]]

 [[ 99  75  49]
  [ 97  73  47]
  [108  84  58]
  ...
  [ 93  77  51]
  [ 90  74  48]
  [ 97  81  55]]]"
8,26030430,2,0,2,2,12039,2012,"[[[254 252 253]
  [253 251 252]
  [251 250 252]
  ...
  [169 214 253]
  [169 214 253]
  [169 214 253]]

 [[254 252 253]
  [253 251 252]
  [251 251 252]
  ...
  [169 214 253]
  [169 214 253]
  [169 214 253]]

 [[254 252 253]
  [253 251 252]
  [251 251 252]
  ...
  [171 215 254]
  [171 215 254]
  [171 215 254]]

 ...

 [[182 166 143]
  [178 162 139]
  [169 153 129]
  ...
  [ 81  89  75]
  [ 83  89  77]
  [ 81  87  74]]

 [[189 173 148]
  [173 157 132]
  [164 148 123]
  ...
  [ 82  90  75]
  [ 81  87  73]
  [ 75  81  67]]

 [[158 140 116]
  [167 149 125]
  [136 119  95]
  ...
  [ 79  87  72]
  [ 78  85  70]
  [ 74  80  66]]]","[[[ 52  73  92]
  [ 45  67  86]
  [ 41  65  83]
  ...
  [245 244 245]
  [244 242 243]
  [242 240 241]]

 [[ 87 105 123]
  [ 76  95 112]
  [ 76  97 114]
  ...
  [251 249 250]
  [250 249 250]
  [250 248 249]]

 [[ 84  98 115]
  [ 74  90 106]
  [ 70  87 103]
  ...
  [254 252 253]
  [254 253 254]
  [254 253 254]]

 ...

 [[ 55  63  48]
  [ 56  64  49]
  [ 56  64  49]
  ...
  [ 36  41  44]
  [ 32  37  41]
  [ 36  41  44]]

 [[ 58  66  51]
  [ 57  65  50]
  [ 55  63  48]
  ...
  [ 33  38  41]
  [ 37  42  44]
  [ 34  39  42]]

 [[ 59  67  52]
  [ 59  67  52]
  [ 59  67  52]
  ...
  [ 31  36  39]
  [ 34  39  42]
  [ 34  39  42]]]","[[[159 219 253]
  [158 218 252]
  [159 219 253]
  ...
  [180 236 253]
  [179 235 252]
  [178 234 251]]

 [[160 220 254]
  [159 219 253]
  [160 220 254]
  ...
  [181 237 253]
  [180 236 252]
  [179 235 251]]

 [[162 221 255]
  [160 219 253]
  [162 221 255]
  ...
  [184 240 254]
  [183 239 253]
  [182 238 252]]

 ...

 [[  6  16  25]
  [  8  18  27]
  [  9  19  28]
  ...
  [193 185 166]
  [193 185 166]
  [186 178 159]]

 [[  9  19  28]
  [  7  17  26]
  [  9  19  28]
  ...
  [194 186 167]
  [199 191 172]
  [200 192 173]]

 [[ 11  21  30]
  [ 11  21  30]
  [  8  18  27]
  ...
  [196 188 169]
  [192 184 165]
  [195 187 168]]]"
9,26035250,3,0,0,8,3627,2005,"[[[177 198 196]
  [180 199 201]
  [181 198 206]
  ...
  [217 232 255]
  [217 232 255]
  [217 232 255]]

 [[180 198 196]
  [183 200 203]
  [180 197 205]
  ...
  [217 232 255]
  [217 232 255]
  [217 232 255]]

 [[181 194 194]
  [181 195 199]
  [185 200 208]
  ...
  [216 231 254]
  [216 231 254]
  [216 231 254]]

 ...

 [[ 31  39  58]
  [ 31  42  59]
  [ 31  45  58]
  ...
  [ 68  63  58]
  [ 73  67  60]
  [ 77  70  62]]

 [[ 31  38  57]
  [ 38  48  65]
  [ 36  50  62]
  ...
  [107 103  96]
  [120 116 107]
  [138 132 123]]

 [[ 30  37  55]
  [ 40  50  66]
  [ 40  52  65]
  ...
  [120 116 108]
  [127 123 112]
  [157 153 142]]]","[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [203 207 210]
  [202 206 209]
  [201 205 208]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [202 206 209]
  [201 205 208]
  [201 205 208]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [201 206 209]
  [200 205 208]
  [200 204 207]]

 ...

 [[ 86  90  84]
  [ 77  80  73]
  [ 52  52  42]
  ...
  [ 94 103  98]
  [ 94 104 101]
  [ 89 100  98]]

 [[ 97  95  79]
  [101  97  81]
  [ 91  84  66]
  ...
  [ 92 101  97]
  [ 97 107 106]
  [ 88  99  97]]

 [[ 82  76  55]
  [166 158 135]
  [167 157 133]
  ...
  [ 91 100  97]
  [ 93 104 102]
  [ 88 100  99]]]","[[[243 251 254]
  [243 251 254]
  [243 251 254]
  ...
  [190 211 226]
  [151 172 189]
  [149 172 188]]

 [[242 250 253]
  [242 250 253]
  [242 250 253]
  ...
  [186 206 222]
  [149 170 187]
  [147 170 187]]

 [[244 249 252]
  [244 249 252]
  [244 249 252]
  ...
  [179 199 216]
  [146 168 186]
  [150 173 191]]

 ...

 [[ 40  33  23]
  [ 39  32  22]
  [ 66  59  49]
  ...
  [ 32  37  40]
  [ 34  39  42]
  [ 25  30  33]]

 [[ 75  72  58]
  [ 57  53  40]
  [ 44  40  26]
  ...
  [ 34  39  42]
  [ 16  21  24]
  [ 11  16  19]]

 [[131 128 113]
  [ 98  96  80]
  [ 65  62  47]
  ...
  [ 53  58  61]
  [ 16  21  24]
  [ 26  31  34]]]"
